filename,count,locations
1_test/1-0.jpeg,5,"[(437, 477), (474, 481), (518, 494), (441, 581), (364, 450)]"
1_test/1-2.jpeg,5,"[(437, 469), (474, 475), (517, 489), (437, 573), (365, 440)]"
1_test/1-4.jpeg,5,"[(437, 462), (474, 469), (517, 485), (434, 566), (366, 430)]"
1_test/1-6.jpeg,5,"[(438, 455), (474, 463), (517, 481), (431, 559), (368, 421)]"
1_test/1-8.jpeg,5,"[(439, 448), (475, 457), (517, 476), (428, 552), (370, 411)]"
1_test/1-10.jpeg,5,"[(440, 441), (476, 452), (517, 472), (426, 544), (373, 402)]"
1_test/1-12.jpeg,5,"[(442, 434), (477, 446), (517, 468), (424, 537), (376, 393)]"
1_test/1-14.jpeg,5,"[(443, 427), (478, 440), (518, 464), (422, 529), (379, 384)]"
1_test/1-16.jpeg,5,"[(445, 421), (480, 435), (518, 459), (420, 522), (382, 375)]"
1_test/1-18.jpeg,5,"[(447, 414), (481, 429), (519, 455), (419, 514), (386, 366)]"
1_test/1-20.jpeg,5,"[(450, 407), (483, 424), (520, 451), (418, 506), (390, 357)]"
1_test/1-22.jpeg,5,"[(452, 401), (485, 418), (521, 447), (417, 499), (395, 348)]"
1_test/1-24.jpeg,5,"[(455, 394), (487, 413), (522, 443), (417, 491), (400, 340)]"
1_test/1-26.jpeg,5,"[(458, 388), (490, 408), (524, 439), (416, 483), (405, 332)]"
1_test/1-28.jpeg,5,"[(462, 382), (492, 402), (525, 435), (416, 475), (410, 323)]"
1_test/1-30.jpeg,5,"[(465, 375), (495, 397), (527, 431), (417, 467), (415, 316)]"
1_test/1-32.jpeg,5,"[(469, 369), (498, 392), (529, 427), (417, 460), (421, 308)]"
1_test/1-34.jpeg,5,"[(473, 363), (501, 388), (531, 423), (418, 452), (427, 300)]"
1_test/1-36.jpeg,5,"[(477, 358), (505, 383), (533, 419), (419, 444), (434, 293)]"
1_test/1-38.jpeg,5,"[(481, 352), (508, 378), (535, 415), (421, 437), (440, 286)]"
1_test/1-40.jpeg,5,"[(486, 347), (512, 374), (537, 412), (422, 429), (447, 279)]"
1_test/1-42.jpeg,5,"[(491, 341), (515, 369), (539, 408), (424, 421), (454, 273)]"
1_test/1-44.jpeg,5,"[(496, 336), (519, 365), (542, 405), (426, 414), (462, 266)]"
1_test/1-46.jpeg,5,"[(501, 331), (523, 361), (545, 401), (429, 407), (469, 260)]"
1_test/1-48.jpeg,5,"[(506, 327), (528, 357), (547, 398), (431, 399), (477, 254)]"
1_test/1-50.jpeg,5,"[(511, 322), (532, 353), (550, 395), (434, 392), (485, 249)]"
1_test/1-52.jpeg,5,"[(517, 318), (537, 349), (553, 392), (437, 385), (493, 244)]"
1_test/1-54.jpeg,5,"[(523, 314), (541, 346), (556, 389), (441, 378), (502, 239)]"
1_test/1-56.jpeg,5,"[(528, 310), (546, 342), (560, 386), (444, 371), (510, 234)]"
1_test/1-58.jpeg,5,"[(534, 306), (551, 339), (563, 383), (448, 364), (519, 230)]"
1_test/1-60.jpeg,5,"[(541, 302), (556, 336), (566, 381), (453, 358), (527, 225)]"
1_test/1-62.jpeg,5,"[(547, 299), (561, 333), (570, 378), (457, 351), (536, 222)]"
1_test/1-64.jpeg,5,"[(553, 296), (566, 331), (573, 376), (461, 345), (545, 218)]"
1_test/1-66.jpeg,5,"[(560, 293), (571, 328), (577, 374), (466, 339), (555, 215)]"
1_test/1-68.jpeg,5,"[(566, 290), (576, 326), (581, 372), (471, 333), (564, 212)]"
1_test/1-70.jpeg,5,"[(573, 288), (582, 324), (585, 370), (477, 327), (573, 210)]"
